"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Vanuatu","70%",2,"fruit, smokey, mocha",3
"Colombia","70%",2,"dirty, roasty, acidic",3
"Tanzania","70%",2,"nutty, bland, late sour",3.25
"Ecuador","70%",2,"floral, orange, cocoa",3.75
"Peru","70%",2,"fig, mild anise",3.75
"Venezuela","60%",3,"grits, hazelnut, rum",3.5
"Venezuela","70%",3,"nutty, dried fruit",3.75
"Venezuela","70%",3,"intense, tobacco, nuts",3.5
"Venezuela","70%",3,"caramel, dairy",3.75
"Venezuela","60%",4,"large grits, sweet",2.5
"Venezuela","70%",3,"large grits",3
"Venezuela","85%",2,"sl. dry, gritty, fruity, nuts",3
"Venezuela","70%",3,"dried fruit, large grits",3.25
"Venezuela","72%",2,"nutty",3.5
"Ghana","60%",4,"coarse, hazelnut, peanut",3.5
"Madagascar","65%",4,"banana",3.5
"Vietnam","80%",4,"intense, bitter, off notes",3
"Costa Rica","70%",4,"few grits, spicy, cocoa",3.5
"Peru","75%",4,"very coarse, intense, spice",3.5
"Peru","70%",2,"coarse,perfume,heavy roast",3.5
"Dominican Republic","65%",2,"choco covered strawberry",3.5
"Peru","81%",2,"sandpaper, some fruit, bitter",2
"Peru","70%",2,"fruit, cough medicine",2.5
"Peru","66%",2,"olive, rum",3.5
"Peru","66%",2,"spice, citrus, sweet",3.5
"Costa Rica","80%",2,"mild bitter, roasty, red berry",3
"Nicaragua","68%",2,"sweet, tobacco",3.25
"Guatemala","73%",2,"roasty, grapes, rich brownie",3.5
"Peru","70%",2,"slight dry, citrus, grapefruit",3.5
"India","71%",3,"tea, spicy, sweet",3.25
"Jamaica","80%",3,"slightly burnt, earthy",2.75
"Jamaica","70%",3,"creamy, simple, nutty",3
"Jamaica","70%",3,"creamy, roasty, tobacco",3.25
"Venezuela","65%",3,"complex, mild licorice, spice",3.5
"Ghana","74%",3,"mild bitter, mild cocoa, roasty",2.75
"Madagascar","74%",3,"woody, red fruit, sour",2.75
"Madagascar","74%",3,"sandy, cocoa, red fruit",3
"Jamaica","70%",3,"grassy, brownie, astringent",3.25
"Dominican Republic","72%",3,"spicy, cocoa",3.25
"Venezuela","76%",3,"bready, nutty, earthy,intense",3.25
"Dominican Republic","72%",3,"red berry, some roasty notes",3.5
"Jamaica","70%",3,"woody, grassy, long",3.5
"Venezuela","70%",3,"tart, roasted cocoa",4
"Papua New Guinea","69%",2,"sandy, smoke, red berry",3
"Papua New Guinea","69%",2,"mild smoke and fruit",3.5
"Papua New Guinea","69%",2,"smoke, fruit, sour, hammy",3.5
"Madagascar","74%",3,"caramel, nuts, dried fruit",4
"Papua New Guinea","69%",2,"tart, red berry, smoke",4
"Dominican Republic","72%",3,"mildly burnt caramel",3.25
"Dominican Republic","72%",3,"blackberries, caramel, roasty",3.75
"Peru","70%",3,"cocoa and fresh grapes",3.75
"Peru","70%",3,"chocolate covered banana",4
"Peru","70%",3,"light color, leathery flavor",3
"Peru","70%",3,"orange, mellow but flavorful",3.5
"Peru","70%",3,"fruity, floral, caramel",3.5
"Peru","70%",3,"slow develop, caramel, roasty",3.5
"Guatemala","70%",3,"rich cocoa, mild, fatty",3.5
"Guatemala","70%",3,"rich cocoa, nuts",3.5
"Guatemala","70%",3,"long lasting, fruit, spicy",3.75
"Venezuela","72%",3,"roasty, mild fatty",3.25
"Venezuela","72%",3,"complex, nuts, spice, floral",3.5
"Peru","74%",3,"licorice, caramel, floral, dirty",3
"Ghana","68%",3,"coconut, high astringency",3.25
"Peru","74%",3,"spicey, herbal, ripe, sl. burnt",3.25
"Ghana","68%",3,"fudgey, spicey, nutty",3.5
"Nicaragua","70%",3,"oily, black licorice, spicey",3.5
"Madagascar","70%",3,"raspberry, mild sour, cocoa",3.5
"Nicaragua","70%",3,"rich chocolate, late spice notes",3.75
"Venezuela","68%",3,"robust cocoa, dried cranberry",4
"Venezuela","82%",3,"tart, bright, dried fruit, bitterness",3.25
"Brazil","70%",2,"creamy, fragrant",3.5
"Tanzania","70%",2,"creamy, simple, strong choco",3.75
"Belize","70%",2,"spice, fatty, mild cocoa",3.5
"Madagascar","70%",2,"strong fruit, ham, deep cocoa",3.5
"Peru","70%",2,"banana, yogurt, cocoa",4
"Nicaragua","70%",2,"vegetal, herbs, raw",3.5
"Nicaragua","70%",3,"creamy, black pepper, nut",3.75
"Nicaragua","60%",3,"sweet, metallic",3
"Nicaragua","70%",3,"floral, sticky",3
"Nicaragua","70%",3,"woody, grassy, spicy",3.25
"Nicaragua","70%",3,"high acidity, grassy",3.25
"Nicaragua","68%",3,"unique flavor, floral-spice mix",3.5
"Nicaragua","70%",3,"delicate, balanced",3.5
"Nicaragua","70%",3,"strong cocoa, orange citrus",3.75
"Nicaragua","70%",3,"cocoa, savory",3.75
"Nicaragua","70%",3,"black pepper,high astringency",3.75
"Guatemala","70%",3,"honey, deep cocoa",4
"Nicaragua","70%",3,"banana,dairy, cocoa",4
"Nicaragua","70%",3,"cocoa, roasty, sweet, fruit, spice",3.5
"Madagascar","64%",3,"pungent, sour cherry",3.5
"Madagascar","64%",3,"caramel, cocoa, fruit",3.75
"Nicaragua","70%",3,"fatty, leathery, earthy",3.25
"Nicaragua","70%",3,"tobacco, woody, wild berry",3.5
"Nicaragua","70%",3,"roasty, fatty, woody",3.5
"Nicaragua","70%",3,"intense olive, citrus, vegetal",3.25
"Honduras","70%",3,"spicy, earthy",3.25
"Nicaragua","70%",3,"oily, fatty, bold olive",3.25
"Nicaragua","70%",3,"oily, gritty, savory",3.75
"Nicaragua","70%",3,"oily, burnt black pepper",3.25
"Nicaragua","70%",3,"baked bread",3.5
"Nicaragua","70%",3,"mild fatty, nutty, roasty",3.5
"Nicaragua","60%",3,"oily, sweet, dairy, bland",3
"Nicaragua","85%",3,"oily, spicy, sour",3.25
"Costa Rica","70%",3,"fatty, sweet, vanilla",3
"Costa Rica","66%",3,"cocoa, spicy, sweet",3.25
"Peru","70%",3,"oily, tart, chlorine",2.5
"Ecuador","75%",3,"sandy,sweet, molasses,floral",3
"Dominican Republic","70%",3,"dried fruit, intense",3.75
"Peru","76%",3,"acidic, undefined, brownie, off",3
"Trinidad","70%",3,"delicate, hebs, choco",3.75
"Bolivia","74%",2,"oily, tropical",3.75
"Costa Rica","74%",2,"oily, dried fruit, leather",4
"Colombia","85%",2,"black current,bitter,astringent",3.5
"Madagascar","74%",2,"balanced, fruit, nut, roasty",3.75
"Dominican Republic","77%",2,"sl. bitter up front, fatty, intense",3.25
"Dominican Republic","68%",4,"dried fruit, cocoa base, fatty",3.75
"Peru","72%",3,"black licorice, tangy",3.75
"Bolivia","66%",3,"woody, earthy, sweet, off",3
"Peru","73%",3,"margarine, creamy, muted",3.25
"Peru","73%",3,"grape, caramel, butterscotch",3.75
"Peru","73%",3,"dairy, light fruit, creamy",3.75
"Taiwan","70%",3,"cheesy off flavor",2.5
"Madagascar","70%",2,"grainy texture, sour, hammy",3
"Tanzania","70%",2,"accessible, sweet, sandy",3
"Venezuela","70%",3,"dried fruit, cocoa",3.5
"U.S.A.","85%",3,"gritty, ambiguous",2.5
"Madagascar","65%",4,"sandy, sweet, candy tart",3.25
"Dominican Republic","70%",4,"sticky, spice, roasty, earthy",3.5
"Dominican Republic","80%",4,"deep cocoa, fruit, spice",3.5
"Madagascar","75%",4,"red fruit, tart, fat, leathery",3.5
"Ghana","70%",4,"cocoa and coconut",4
"St. Lucia","77%",3,"chewy, woody, rustic",3.5
"Venezuela","75%",3,"fatty, creamy, roasty",3.5
"Guatemala","72%",3,"dry, grainy, spicy, roasty",2.75
"Venezuela","75%",3,"earthy, roasty, strong vanilla",2.75
"Brazil","66%",2,"mild woody, black licorice",3
"Belize","70%",2,"mild strawberry, cocoa",3.5
"Mexico","77%",3,"sour off flavor, nutty, earthy",2.75
"Guatemala","77%",3,"sweet edge, bright fruit, sour",3.25
"Nicaragua","77%",3,"mild molasses, rich, gateway",3.25
"Peru","70%",3,"creamy, fig",3.25
"Colombia","73%",3,"acidic, mildly burnt, metallic",2.5
"Costa Rica","73%",3,"floral, rubbery, woody",3
"Ecuador","70%",3,"banana, cocoa, late floral",3.75
"Belize","70%",2,"fruit, tart, rubber",2.75
"India","70%",2,"sweet, dominate cocoa, spice",3
"Bolivia","70%",2,"spice/herb dominate cocoa base",3.25
"Dominican Republic","70%",2,"sandy, sweet, earthy,deep cocoa",3.25
"Vietnam","72%",5,"fatty, vanilla, dairy",3
"Madagascar","72%",3,"fruity, cocoa, sweet",3.5
"Tanzania","70%",3,"nutty, spicy, candied orange",3.5
"Dominican Republic","75%",3,"dried fruit, orange peel, cocoa",3.5
"Vietnam","73%",3,"roasty, sweet, fruity, cocoa",3.5
"Blend","70%",5,"mildly rich, basic, roasty",2.5
"Madagascar","70%",2,"rich, coffee, cherry",3.5
"Peru","73%",2,"sour grapes, pungent, ashey",2.5
"India","70%",3,"spicy, vanilla",3
"Grenada","71%",5,"very sour, grassy, fatty",2.5
"Grenada","60%",5,"very sweet, coffee, mild sour",2.75
"Grenada","82%",5,"chunky, muted, mild bitter",3.25
"Ecuador","64%",4,"sl. sweet, nutty, off note",3
"Ghana","64%",4,"hot cocoa, very nutty",3
"Blend","64%",4,"light perfume, mild, sweet",3
"Venezuela","76%",4,"gritty, roasty, strong coffee",3
"Blend","64%",4,"mild nutty, spicy, brownie",3.25
"Madagascar","70%",4,"earthy, chemical or burnt note",2.75
"Venezuela","65%",5,"sweet, creamy, vanilla",2.5
"Colombia","65%",5,"creamy, sweet, floral, vanilla",3
"Blend","61%",5,"fatty, cocoa, fruity",3
"Madagascar","65%",5,"creamy, sweet, blueberry",3.5
"Ecuador","65%",5,"creamy, blackberry",3.5
"Blend","61%",5,"sweet, rich cocoa, mild citrus",3.5
"Blend","72%",5,"creamy,sandy,nutmeg, moss",3.5
"Peru","65%",5,"sweet, vanilla, rich",3
"Blend","64%",5,"perfume, vanilla",3
"Venezuela","65%",5,"creamy, nutty",3.5
"U.S.A.","55%",5,"sweet, mild lemon",3
"Blend","91%",5,"bitter, fatty, fruit",3
"Blend","70%",5,"complex, fruit, nut, raisin",3.5
"Trinidad","65%",5,"creamy, mild tobacco, ham",3
"Blend","72%",5,"dutched?, intense, rich cocoa",2.75
"Blend","61%",5,"sweet, creamy, floral, orange",3.25
"Blend","72%",5,"dry, sticky, brownie",3.25
"Haiti","65%",5,"creamy, sl. Burnt, roasty",2.75
"Nicaragua","65%",5,"floral, over roasted, harsh",2.75
"Jamaica","65%",5,"sweet, vanilla, cocoa",3.25
"Ecuador","65%",5,"very spicy, roasty",3.5
"Blend","70%",5,"nutty, black licorice",3.75
"Blend","100%",NA,"unrefined, bitter, earthy",2
"Papua New Guinea","80%",3,"smokey, cherries, sour",2.75
"Blend","74%",3,"XL nibs, sour, cardboard",2.75
"Blend","65%",3,"molasses, sweet, long,cocoa",2.75
"Blend","70%",3,"fatty, nutty, earthy",3
"Blend","80%",3,"sandy, roasted vegetal",3
"Dominican Republic","75%",3,"chalky, berry, cocoa",3.25
"U.S.A.","66%",3,"muted, mild fruit, sweet",3.25
"Blend","70%",3,"sandy, intense, cherry",3.5
"Ecuador","77%",4,"buttery, floral, burnt",2.5
"Ecuador","55%",4,"overyly sweet, banana, yogurt",2.75
"Ecuador","70%",4,"chewy, fatty, sweet, nutty",3
"Blend","70%",NA,"vanilla, chocolate milk",3
"Brazil","67%",3,"sandy, sweet, dried fruit",3
"Brazil","77%",3,"rich chocolate, sweet edge",3.5
"Brazil","74%",3,"rich chocolate, sandy texture",3.5
"Brazil","85%",3,"powdery, rich, coffee, roasty",3.25
"Brazil","75%",3,"flat, late tart notes",3
"India","70%",3,"sandy, sweet, cocoa",3
"Vietnam","70%",3,"sandy, brownie, coconut",3.25
"Haiti","64%",2,"too sweet, off, rubbery",2.75
"Ghana","68%",2,"deep cocoa, nutty, earthy",3.25
"Ecuador","68%",2,"spicy, earthy, grassy, astringent",3.25
"Guatemala","68%",2,"fruit, cocoa, lemony",3.5
"Peru","65%",3,"pungent, chemical",2.75
"Tanzania","72%",3,"cocoa, fatty, fruit",3.25
"Dominican Republic","70%",3,"earthy, dirty, dried fruit",3.5
"Mexico","70%",2,"delicate, carame, tang",3.5
"Peru","64%",3,"powdery, vanilla, artificial",2.75
"Indonesia","71%",4,"rubber, fatty, sandy,grape",2.5
"Blend","71%",4,"sandy, fatty, chemical",2.5
"Venezuela","71%",4,"nutty, sweet, fatty, sandy",3
"Belize","70%",3,"pungent raisin, metallic",3.25
"Costa Rica","74%",3,"mostly earthy, mild dried fruit",3.5
"Bolivia","67%",3,"woody, earthy, medicinal",3
"Bolivia","67%",3,"full flavor spectrum",3.5
"Ecuador","67%",3,"nutty, butterscotch",3.75
"U.S.A.","67%",3,"spicy, intense, fades fast",3.75
"U.S.A.","72%",3,"astringent, smoke, cream",3.5
"Ecuador","70%",3,"floral",3.5
"Ecuador","77%",3,"strong floral, black licorice",3.5
"Bolivia","68%",3,"creamy, mild nutty & woody",3.75
"Bolivia","72%",3,"dark berry, honey, cream",4
"Uganda","57%",3,"too sweet, spicy, candied",2.75
"Venezuela","74%",3,"sandy, sweet, mild fruit",3.5
"Ecuador","70%",2,"harsh, earthy, dirty",2.75
"Nicaragua","70%",2,"delicate fruit, black tea",3.25
"Peru","72%",3,"pungent, rubbery",2.5
"India","70%",3,"mint, sour milk, sweet",2.75
"Madagascar","72%",3,"sl. Sandy, fruit, sweet",3
"Uganda","70%",3,"fudge, mild fruit, ""lecithin-like""",3.25
"Philippines","70%",3,"cocoa, nut, graham",3.25
"Dominican Republic","72%",3,"nutty, milk choco, ""lecithin-like""",3.25
"Haiti","70%",3,"choco, gianduja, ""lecithin-like""",3.5
"Vietnam","70%",3,"fudge, pistachio",3.75
"Tanzania","70%",2,"intense, palm, earthy",2.75
"Madagascar","74%",2,"sandy, tart, tangy, palm",3
"Venezuela","70%",2,"intense, palm, nutty",3
"Ecuador","73%",2,"floral, palm, sour",3.25
"Peru","70%",2,"palm, spicy, flour",3.25
"Peru","70%",2,"light color, sour, pungent",2.25
"Ecuador","73%",2,"harsh flavor, hay",2.5
"Madagascar","74%",2,"sour, citrus, molasses",2.75
"Tanzania","70%",2,"lemon, late sour & molasses",3
"Dominican Republic","71%",2,"fruity, tannic, coconut",3.5
"Madagascar","70%",3,"sour, earthy",2.75
"Venezuela","72%",3,"nutty, off notes",2.75
"Dominican Republic","75%",3,"intense, bitter, coffee",3.25
"Peru","66%",3,"mild caramel, honey",3.5
"Venezuela","68%",3,"high acid,sweet,nut,strawberry",3.25
"Ecuador","85%",3,"butterscotch, burnt cinnamon",3.5
"Ecuador","80%",4,"perfume, burning",2
"Ecuador","80%",2,"sandy, perfume, nutty",2.5
"Ecuador","72%",2,"dry, floral, slight musty",3
"Ecuador","58%",4,"dry, intense floral, spciy",3.25
"Ecuador","58%",4,"dry, nutty, sweet",3.5
"Ivory Coast","70%",2,"dry, sour, cheesey, off",2.5
"Dominican Republic","70%",2,"sandy, red berry, sour",2.75
"Peru","70%",2,"coffee, red berry, tart",3.5
"Dominican Republic","75%",2,"red berry, cocoa, mild coffee",3.75
"Ecuador","70%",4,"floral, roasty, coffee",3.5
"Madagascar","70%",4,"rich cocoa, fatty",3.5
"Trinidad","70%",4,"creamy, nutty, tea, fatty",3.5
"Venezuela","70%",4,"muted, fatty, nutty",3.5
"Peru","70%",4,"sour, raw, green",2.75
"Ecuador","72%",2,"true to sugar, green, fatty",2.5
"St. Lucia","100%",NA,"pastey, bitter, unfixable",1.75
"St. Lucia","70%",2,"cardamon",4
"St. Lucia","70%",2,"smoke, cocoa, fruit, fuel",2.75
"Colombia","75%",4,"dry, woody, dried fruit",2.75
"Honduras","72%",4,"sour raisin, woody, fatty",3
"Tanzania","80%",4,"fatty, mild bitter, banana",3
"Uganda","80%",NA,"charred, espresso",2.5
"Tanzania","75%",4,"sandy, sweet, mild cocoa",2.75
"St. Lucia","72%",3,"grassy, tobacco, intense",3
"Sao Tome","72%",4,"fungal, mushroom, mild burn",3
"Ecuador","70%",NA,"spicy, sour, burning",2.75
"Venezuela","70%",4,"ashey, woody, bright red",2.75
"Dominican Republic","70%",NA,"earthy, woody, sour mint",3
"Ecuador","80%",4,"mild bitter, floral",3
"St. Lucia","65%",4,"woody, nutty, short",3
"St. Lucia","65%",4,"sweet, cocoa, grassy",3.25
"Madagascar","66%",4,"sweet, red berry, sour",3.5
"Ecuador","100%",1,"candy,uncontrolled bitterness",2.5
"Peru","100%",NA,"spice,cocoa, tolerable bitter",2.75
"Dominican Republic","100%",NA,"trop. Fruit, coffee, bitter",2.75
"Trinidad","75%",4,"sandy, vegetal, sour",3
"Ecuador","90%",2,"oily, leathery, intense bitter",3
"Madagascar","72%",4,"nutty, mild coffee",3
"Vietnam","80%",4,"tart, fruity, intense",3.5
"Ecuador","82%",2,"oily, spicy, sl. Burnt",3.5
"Venezuela","70%",3,"fatty, gritty, roasty",3.25
"Venezuela","70%",3,"nutty, coffee, rich",3.75
"Bolivia","70%",3,"intense, cherry, metallic",3
"Bolivia","70%",3,"woody, floral, metallic",3
"Nicaragua","70%",3,"earthy, metallic edge",3
"Dominican Republic","70%",3,"spicy, mild fruit, fatty",3.5
"Dominican Republic","70%",3,"raisins, rich choco",3.75
"Vietnam","70%",3,"spicy, mild roasty",3.5
"Venezuela","72%",3,"creamy, sour, raisin",3.25
"Venezuela","72%",3,"creamy, nutty, muted",3.5
"Venezuela","72%",3,"creamy, cocoa, lemon",3.75
"Venezuela","72%",3,"creamy, roasted nuts, fatty",3.75
"Venezuela","72%",3,"creamy, nutty, cocoa",3.75
"Venezuela","74%",3,"creamy, nutty, delicate fruit",4
"Venezuela","70%",3,"creamy, nutty, fruity",4
"Venezuela","72%",3,"peanut, coffee, cocoa, bread",4
"Venezuela","72%",3,"creamy, nutty, earthy",4
"Venezuela","72%",3,"fatty, rich, berry notes",3.75
"India","61%",4,"sour, sweet, rubber",2.5
"Honduras","77%",3,"buttery, intense, spice, roasty",3
"Vietnam","72%",3,"molasses, roasty",3.25
"Peru","72%",4,"very sandy, sweet, spicy",2.75
"Peru","72%",4,"sandy, caramel",3
"Peru","72%",2,"off notes, pungent",2.25
"Belize","72%",2,"mild metallic, spice, tea",3.25
"Dominican Republic","72%",2,"roasty, nutty, spicy",3.25
"Madagascar","72%",2,"intense, tart, earthy",3.5
"St.Vincent-Grenadines","72%",4,"woody, meaty, vegetal",2.75
"Dominican Republic","70%",2,"intense, molasses, fruit",2.75
"Belize","70%",2,"intense, cherry, rich, metallic",3.5
"Ghana","71%",5,"gritty, unrefined, off notes",2
"Venezuela","72%",3,"sandy, sweet",3.25
"Jamaica","67%",4,"candy like, sweet, dairy",3
"Peru","75%",4,"floral, tobacco, candied",3
"Venezuela","72%",3,"dairy, nutty, butterscotch",3.5
"Vietnam","65%",4,"sweet, fruity, vanilla",3.5
"Ecuador","70%",4,"floral, bourbon, salt",3.5
"Madagascar","68%",5,"vanilla, gateway",3.5
"Ecuador","78%",4,"full bodied, floral",3.75
"India","66%",4,"gritty, coffee, sweet, hammy",3
"Colombia","73%",4,"complex, bold, gritty",3.25
"Trinidad","80%",4,"bold, spice, sour fruit, gritty",3.25
"Madagascar","63%",2,"off note, vanilla, basic cocoa",2.75
"Venezuela","75%",3,"harsh, burnt nuts, powdery",2.75
"Thailand","70%",3,"floral, earthy, grassy",3
"Thailand","70%",3,"nutty, cocoa, sour veggie",3.5
"Thailand","70%",3,"herbal, tea-like",3.5
"Thailand","70%",3,"brownie",3.75
"Dominican Republic","82%",5,"nutty, sour milk, off note",3
"Dominican Republic","55%",5,"very sweet, basic cocoa",3.25
"Dominican Republic","62%",5,"candy-like, peanut butter",3.25
"Dominican Republic","70%",5,"raisins, prunes",3.5
"Dominican Republic","68%",4,"rich cocoa, dried fruit, roasty",3.75
"Dominican Republic","70%",3,"light color, nutty, caramel",3.75
"Dominican Republic","67%",4,"banana, fall spices, earthy",3.75
"Dominican Republic","80%",3,"dried fruit, bitter, rubbery",3.25
"Dominican Republic","70%",3,"sandy, sweet, acidic",3
"Dominican Republic","72%",4,"creamy, black tea, vegetal",3
"Dominican Republic","71.50%",3,"creamy, balanced, fig, cocoa",3.5
"Dominican Republic","68%",4,"creamy, floral, dried fruit",3.75
"Dominican Republic","65%",4,"creamy, distinct, dried fruit",3.75
"Dominican Republic","72%",4,"floral, woody, cocoa, creamy",3.5
"Dominican Republic","72%",4,"honey, molasses, cream, woody",3.5
"Dominican Republic","72%",4,"cocoa with hint of melon",4
"Nicaragua","75%",3,"spicy, tobacco",3
"Peru","75%",3,"muted, grapes, astringent",3
"Tanzania","75%",3,"base cocoa, fruit, fatty",3.25
"Vanuatu","65%",NA,"cocoa, strong distinct spice",3.75
"Peru","64%",NA,"chewy, vanilla, metallic",2.5
"Ecuador","85%",4,"crumbly, vanilla, bitter",2.5
"Ecuador","75%",4,"grassy, earthy, coffee",2.5
"Ecuador","75%",4,"sweet, vanilla, coffee",2.75
"Ecuador","85%",4,"creamy, nutty, bitter, flat",2.75
"Ecuador","70%",4,"creamy, mild marshmallow",3
"Ecuador","85%",4,"spicy, mild bitter",3
"Ecuador","85%",4,"fruity,floral,cooling sensation",3
"Ecuador","70%",4,"intense, mint, marshmallow",3.5
"Blend","70%",NA,"mild bitter and chemical off",2.75
"Ecuador","80%",NA,"spicy, floral, bitter",2.75
"Belize","70%",3,"green, raw, vegetal",3
"Belize","70%",3,"cherry, sl. Metallic",3.5
"Tanzania","70%",3,"smooth, roasty, nutty, fruit",3.5
"India","70%",3,"rich, yogurt, milk choco, spice",3.5
"Philippines","70%",3,"licorice, melon",3.25
"Papua New Guinea","70%",3,"plum, molasses",3.5
"Ecuador","70%",3,"hay, floral, red wine",3.5
"Peru","75%",3,"pungent, blueberry, spice",3.5
"Dominican Republic","70%",3,"fatty, dark berry, grassy",3.75
"Mexico","72%",5,"sweet, vanilla domintates, nut",2
"Colombia","70%",3,"poor finish, cocoa, grassy",3.25
"Dominican Republic","60%",2,"gritty, overly sweet, citrus",3
"Belize","70%",2,"gritty, sour, berries",3
"Vietnam","70%",2,"sticky, molasses, sour",3
"Mexico","70%",2,"medium roast, nutty",3.25
"Madagascar","70%",2,"roasty, nutty",3
"Philippines","70%",2,"nuts, dried fruit, grassy",3.25
"Mexico","70%",2,"intense, high acidity",3.75
"Colombia","70%",2,"light color,",3
"Papua New Guinea","70%",2,"astringent, smomkey cocoa",3.25
"Mexico","70%",3,"pungent, dirty, sl. Chemical",2.75
"Mexico","70%",3,"vegetal, green",3.25
"Peru","72%",2,"intense, pungent, tangy",2.5
"Venezuela","72%",3,"nutty, pungent, sour",2.75
"Belize","72%",3,"nutty, sour milk",3
"Madagascar","72%",3,"strawberry, intense, sour",3.25
"Belize","90%",2,"intense, spicy, pungent",3.25
"Dominican Republic","72%",3,"spicy, molasses, earthy",3.25
"Dominican Republic","72%",3,"earthy, fatty, tea",3.25
"Peru","70%",4,"astringent, unbalanced, off",2.75
"Haiti","70%",4,"spicy, vanilla, dairy",3.25
"Brazil","70%",4,"creamy, mild flavors",3.75
"Ecuador","70%",4,"oranges",3.75
"Uganda","72.50%",5,"vanilla, earth, cardboard",2.5
"Ecuador","72.50%",5,"intense, bourbon, vanilla",2.5
"Dominican Republic","72.50%",5,"vanilla, candy-like, sour milk",3
"Madagascar","72.50%",5,"mild vanilla and mild fruit",3
"Bolivia","68%",5,"rich, spice, cheese",3
"Madagascar","64%",5,"smooth, rich, lemon",3.5
"Venezuela","71%",5,"cocoa, nutty, acidic, burning",3
"Grenada","75%",5,"creamy, cocoa, spice",3.25
"Dominican Republic","74%",5,"simple, rich hot cocoa",3.75
"Ecuador","74%",5,"spicy, roasty, coffee",3.75
"Peru","74%",5,"floral, soapy, earthy",3.25
"Venezuela","68%",5,"berry, rich cocoa dominates",3.75
"Brazil","70%",5,"creamy, woody, nutty",4
"Fiji","68%",3,"unrefined, sweet, basic cocoa",3
"Peru","70%",NA,"molasses, cardboard, off note",2.25
"Peru","70%",NA,"metallic, cardboard, fruit",2.5
"Belize","70%",NA,"nutty, fatty",3
"Peru","70%",NA,"grit, earthy, musty",3
"Dominican Republic","70%",2,"anise, spicy, earthy",3
"Peru","75%",2,"earthy, molasses, dried fruit",3
"Belize","70%",4,"molasses, high acidity",3.25
"Guatemala","70%",2,"tart, molasses, grits",3.25
"Belize","70%",2,"fruit, cocoa, grape",3.5
"Guatemala","70%",2,"dry, melon, cocoa",3.5
"Peru","72%",2,"sandy, grapes",3.5
"Blend","74%",4,"roasty, dark berry, rich",3.5
"Blend","60%",4,"rich, sweet, cocoa, intense",3
"Ghana","68%",4,"rich cocoa, burning sensation",3.25
"Venezuela","69%",4,"nutty, grassy, rich cocoa",3.5
"Blend","60%",4,"cocoa, caramel, sweet",3.75
"Grenada","68%",4,"rich, vegetal, banana, spice",3.5
"Dominican Republic","66%",4,"nutty, pear, sour milk",3.5
"Blend","74%",4,"brownie, cocoa, sour, sweet",2.75
"Tobago","60%",4,"creamy, rich, dairy, nutty",3.25
"Ecuador","56%",4,"sweet, nutty, cocoa",3.25
"Peru","72%",NA,"peanut butter, burnt rubber",2.5
"Ecuador","60%",NA,"sweet, fudgey, tang",3.25
"Mexico","70%",2,"mild hammy, roasty, sour",3
"Mexico","70%",2,"rich cocoa, mild fruit & nut",3.5
"Mexico","70%",2,"citrus,prononced orange",3.5
"Cuba","70%",4,"fatty, roasty, coffee, off note",2.75
"Blend","68%",4,"nutty, woody, leathery",2.75
"Madagascar","75%",4,"roasty, sour, cardboard",2.75
"Vietnam","75%",4,"gritty, roasty, waxy, off",2.75
"Cuba","75%",4,"slight burnt, astringent, fruit",3
"Ivory Coast","75%",4,"roasty, nutty, rich cocoa",3
"Peru","75%",4,"sandy, fatty, roasty, fruit",3.25
"Brazil","75%",4,"smokey, rich cocoa, spice",3.25
"Sao Tome","75%",4,"rich, roasty, nutty, smoke",3.5
"Vietnam","75%",4,"creamy, mild honey, floral",3.75
"Brazil","70%",NA,"floral, caramel",3.5
"Tanzania","75%",NA,"dry, roasty, toffee",2.5
"Venezuela","75%",5,"chalky, fatty, sweet",3
"Venezuela","75%",5,"chalky, cocoa, tangy",3
"Blend","72%",5,"fatty, nutty, woody",3
"Nicaragua","80%",2,"spicy, grassy, roasty",3.5
"Nicaragua","71%",3,"simple, earthy, cocoa",3
"Honduras","70%",3,"sandy, rich cocoa",3.25
"Nicaragua","73%",3,"complex, dairy, roasty",3.5
"Bolivia","74%",3,"well balanced, melon",3.75
"Colombia","70%",3,"sandy, off, hammy",2.75
"Costa Rica","70%",3,"base cocoa, mild ham, woody",3.25
"Peru","70%",3,"sandy, light color, grape",3.5
"Peru","70%",2,"intense, sticky, cocoa",3.5
"Costa Rica","70%",2,"roasty, black pepper, woody",3
"Bolivia","70%",2,"dried fruit, nutty, mushroom",3.25
"Dominican Republic","70%",2,"red fruit, brownie",3.25
"Trinidad","70%",2,"cocoa, spice, fruit",3.5
"Tanzania","70%",2,"subtle, spicy, banana",3.5
"Liberia","70%",2,"floral, black licorice",3.25
"Belize","70%",2,"smokey, mild berry",3.25
"Honduras","70%",2,"strong raspberry, mocha",3.5
"Peru","70%",3,"mild, licorice, coffee, cocoa",4
"Ghana","70%",3,"brownie",3.75
"Jamaica","70%",3,"woody, mocha, molasses",3.25
"Bolivia","70%",3,"spoiled milk, sweet, molasses",3.25
"Sao Tome & Principe","70%",3,"buttery, sunflower, astringent",3.5
"U.S.A.","70%",3,"home baked banana nut bread",3.75
"Madagascar","71%",3,"sandy, citrus",3.5
"Madagascar","70%",2,"sweet edge, bright fruit, off",3
"Blend","75%",2,"grits, roasted, nutty",2.75
"Dominican Republic","74%",2,"fatty, roasty, cocoa",3
